t_s,Cb_mM
1,0.168068523035096
1.5,0.239779888876096
2,0.337682672945447
2.5,0.468417863948107
3,0.638963617414142
3.5,0.856062854723384
4,1.12545314576327
4.5,1.45093987313565
5,1.8333961555069
5.5,2.26981386593925
6,2.75255974252705
6.5,3.26899912439956
7,3.80162949701349
7.5,4.3288138463725
8,4.82612363612842
8.5,5.26820419658567
9,5.63097857005383
9.5,5.89392921152765
10,6.04215840152453
10.5,6.06793933692511
11,5.97153226732103
11.5,5.76114431683339
12,5.45203892728646
12.5,5.06492703228642
13,4.62387323691028
13.5,4.15400829492405
14,3.67934558973649
14.5,3.22095675356889
15,2.79568229647194
15.5,2.41545552774901
16,2.08722188787663
16.5,1.81335776440525
17,1.59244347409563
17.5,1.42022753581067
18,1.29063015955354
18.5,1.19666497460537
19,1.13119942358276
19.5,1.08751652118725
20,1.05967668440378
20.5,1.04270405545956
21,1.032636141142
21.5,1.02647996394531
22,1.02211485929264
22.5,1.01817451411034
23,1.01393140596578
23.5,1.00919724376769
24,1.00424415723547
24.5,0.999743211591151
25,0.996708805545292
25.5,0.996429279876576
26,1.00035661888484
26.5,1.00992554491124
27,1.02628299794919
27.5,1.04994343969917
28,1.0804459463564
28.5,1.11615256104618
29,1.15433913166869
29.5,1.19163828599633
30,1.2247204083273
30.5,1.25095845788252
31,1.2688322083557
31.5,1.27797897729678
32,1.27896789285852
32.5,1.27295445505369
33,1.26135123095258
33.5,1.2455846882558
34,1.22694999271193
34.5,1.20654467634564
35,1.18525407996339
35.5,1.16376532523086
36,1.14259384105141
36.5,1.12211302109296
37,1.10258221018076
37.5,1.08417103385665
38,1.06697961100222
38.5,1.05105491399028
39,1.0364038172218
39.5,1.02300342418998
40,1.010809211507
40.5,0.999761442009093
41,0.989790209997361
41.5,0.980819403153598
42,0.972769801607835
42.5,0.965561484647897
43,0.959115677599653
43.5,0.953356143023084
44,0.948210199285698
44.5,0.943609433885228
45,0.939490167098239
45.5,0.935793712498322
46,0.932466473789879
46.5,0.929459911653911
47,0.926730409495541
47.5,0.924239062848035
48,0.921951413549433
48.5,0.919837146556816
49,0.917869764335325
49.5,0.916026251118242
50,0.914286736961357
50.5,0.912634169398805
51,0.911053998641084
51.5,0.909533880631887
52,0.908063400889347
52.5,0.906633820887667
53,0.905237847772268
53.5,0.903869427428719
54,0.902523560323968
54.5,0.901196139088166
55,0.899883806486249
55.5,0.89858383222077
56,0.897294006891969
56.5,0.896012551400138
57,0.894738040092716
57.5,0.893469336019943
58,0.892205536755807
58.5,0.890945929354937
59,0.889689953142288
59.5,0.888437169163964
60,0.887187235258849
60.5,0.885939885837836
61,0.884694915577443
61.5,0.883452166345578
62,0.88221151677808
62.5,0.880972874014889
63,0.879736167184425
63.5,0.878501342294226
64,0.877268358245825
64.5,0.87603718374298
65,0.874807794905596
65.5,0.873580173437819
66,0.87235430522885
66.5,0.871130179289721
67,0.869907786949441
67.5,0.868687121250308
68,0.867468176495296
68.5,0.866250947910955
69,0.865035431397575
69.5,0.86382162334493
70,0.862609520497043
70.5,0.861399119853417
71,0.860190418597237
71.5,0.858983414043429
72,0.857778103601268
72.5,0.85657448474758
73,0.855372555007626
73.5,0.854172311941535
74,0.852973753134718
74.5,0.851776876191122
75,0.850581678728507
75.5,0.849388158375155
76,0.848196312767588
76.5,0.847006139548984
77,0.845817636368097
77.5,0.844630800878509
78,0.843445630738121
78.5,0.842262123608808
79,0.841080277156184
79.5,0.839900089049443
80,0.83872155696125
80.5,0.837544678567664
81,0.836369451548096
81.5,0.835195873585266
82,0.834023942365185
82.5,0.832853655577131
83,0.831685010913642
83.5,0.830518006070502
84,0.829352638746737
84.5,0.828188906644602
85,0.827026807469581
85.5,0.82586633893038
86,0.824707498738918
86.5,0.823550284610327
87,0.822394694262947
87.5,0.821240725418317
88,0.820088375801174
88.5,0.818937643139449
89,0.817788525164261
89.5,0.81664101960991
90,0.815495124213879
90.5,0.814350836716824
91,0.813208154862569
91.5,0.812067076398109
92,0.810927599073596
92.5,0.80978972064234
93,0.808653438860804
93.5,0.8075187514886
94,0.806385656288482
94.5,0.805254151026344
95,0.804124233471215
95.5,0.802995901395254
96,0.801869152573746
96.5,0.800743984785098
97,0.799620395810835
97.5,0.798498383435593
98,0.797377945447119
98.5,0.796259079636263
99,0.795141783796974
99.5,0.794026055726297
100,0.792911893224369
100.5,0.791799294094414
101,0.790688256142736
101.5,0.78957877717872
102,0.788470855014823
102.5,0.787364487466574
103,0.786259672352563
103.5,0.785156407494444
104,0.784054690716928
104.5,0.782954519847777
105,0.7818558927178
105.5,0.780758807160852
106,0.779663261013827
106.5,0.778569252116654
107,0.777476778312291
107.5,0.776385837446726
108,0.775296427368968
