t_s, Cb_mM
0,0.01067
0.5,0.02139
1,0.042982
1.5,0.075759
2,0.131446
2.5,0.211712
3,0.331304
3.5,0.483039
4,0.686596
4.5,0.938284
5,1.232733
5.5,1.580096
6,1.972131
6.5,2.368257
7,2.815926
7.5,3.230828
8,3.660531
8.5,4.063258
9,4.423571
9.5,4.725497
10,4.953985
10.5,5.145099
11,5.293589
11.5,5.344108
12,5.395152
12.5,5.344108
13,5.194092
13.5,5.048585
14,4.907386
14.5,4.681119
15,4.423571
15.5,4.180085
16,3.949534
16.5,3.660531
17,3.423393
17.5,3.168702
18,2.92986
18.5,2.73274
19,2.519874
19.5,2.343621
20,2.175986
20.5,2.038688
21,1.906912
21.5,1.80108
22,1.698679
22.5,1.619118
23,1.560771
23.5,1.522486
24,1.48468
24.5,1.447344
25,1.42885
25.5,1.41047
26,1.392203
26.5,1.392203
27,1.374049
27.5,1.374049
28,1.374049
28.5,1.356006
29,1.338073
29.5,1.338073
30,1.320249
30.5,1.302533
31,1.284925
31.5,1.267422
32,1.232733
32.5,1.215543
33,1.181471
33.5,1.164586
34,1.147801
34.5,1.114527
35,1.098036
35.5,1.065342
36,1.049137
36.5,1.033026
37,1.017008
37.5,1.001082
38,0.985247
38.5,0.969503
39,0.969503
39.5,0.953849
40,0.953849
40.5,0.953849
41,0.953849
41.5,0.953849
42,0.953849
42.5,0.953849
43,0.953849
43.5,0.953849
44,0.969503
44.5,0.969503
45,0.969503
45.5,0.985247
46,0.985247
46.5,0.985247
47,0.985247
47.5,1.001082
48,1.001082
48.5,1.001082
49,1.001082
49.5,1.001082
50,1.001082
50.5,1.001082
51,1.001082
51.5,1.001082
52,0.985247
52.5,0.985247
53,0.985247
53.5,0.985247
54,0.969503
54.5,0.969503
55,0.953849
55.5,0.953849
56,0.953849
56.5,0.938284
57,0.938284
57.5,0.922807
58,0.922807
58.5,0.922807
59,0.907418
59.5,0.907418
60,0.892115
60.5,0.892115
61,0.876899
61.5,0.876899
62,0.876899
62.5,0.861768
63,0.861768
63.5,0.846721
64,0.846721
64.5,0.846721
65,0.831759
65.5,0.831759
66,0.831759
66.5,0.816879
67,0.816879
67.5,0.816879
68,0.802082
68.5,0.802082
69,0.802082
69.5,0.787367
70,0.787367
70.5,0.787367
71,0.772733
71.5,0.772733
72,0.772733
72.5,0.772733
73,0.75818
73.5,0.75818
74,0.75818
74.5,0.75818
75,0.75818
75.5,0.743706
76,0.743706
76.5,0.743706
77,0.743706
77.5,0.743706
78,0.729311
78.5,0.729311
79,0.729311
79.5,0.729311
80,0.729311
80.5,0.729311
81,0.714995
81.5,0.714995
82,0.714995
82.5,0.714995
83,0.714995
83.5,0.714995
84,0.714995
84.5,0.714995
85,0.700757
85.5,0.700757
86,0.700757
86.5,0.700757
87,0.700757
87.5,0.700757
88,0.700757
88.5,0.686596
89,0.686596
89.5,0.686596
90,0.686596
90.5,0.686596
91,0.686596
91.5,0.686596
92,0.686596
92.5,0.672512
93,0.672512
93.5,0.672512
94,0.672512
94.5,0.672512
95,0.672512
95.5,0.672512
96,0.658504
96.5,0.658504
97,0.658504
97.5,0.658504
98,0.658504
98.5,0.658504
99,0.658504
99.5,0.644571
100,0.644571
100.5,0.644571
101,0.644571
101.5,0.644571
102,0.644571
102.5,0.630712
103,0.630712
103.5,0.630712
104,0.630712
104.5,0.630712
105,0.630712
105.5,0.616928
106,0.616928
106.5,0.616928
107,0.616928
107.5,0.616928
108,0.616928
108.5,0.603218
109,0.603218
109.5,0.603218
110,0.603218
110.5,0.603218
111,0.603218
111.5,0.58958
112,0.58958
112.5,0.58958
113,0.58958
113.5,0.58958
114,0.58958
114.5,0.58958
115,0.576015
115.5,0.576015
116,0.576015
116.5,0.576015
117,0.576015
117.5,0.576015
118,0.562522
118.5,0.562522
119,0.562522
119.5,0.562522
120,0.562522
120.5,0.562522
121,0.562522
121.5,0.5491
122,0.5491
122.5,0.5491
123,0.5491
123.5,0.5491
124,0.5491
124.5,0.5491
125,0.535749
125.5,0.535749
126,0.535749
126.5,0.535749
127,0.535749
127.5,0.535749
128,0.535749
128.5,0.535749
129,0.522467
129.5,0.522467
130,0.522467
130.5,0.522467
131,0.522467
131.5,0.522467
132,0.522467
132.5,0.522467
133,0.509256
133.5,0.509256
134,0.509256
134.5,0.509256
135,0.509256
135.5,0.509256
136,0.509256
136.5,0.509256
137,0.496113
137.5,0.496113
138,0.496113
138.5,0.496113
139,0.496113
139.5,0.496113
140,0.496113
140.5,0.496113
141,0.483039
141.5,0.483039
142,0.483039
142.5,0.483039
143,0.483039
143.5,0.483039
144,0.483039
144.5,0.483039
145,0.483039
145.5,0.483039
146,0.470033
146.5,0.470033
147,0.470033
147.5,0.470033
148,0.470033
148.5,0.470033
149,0.470033
149.5,0.470033
150,0.470033
150.5,0.457094
151,0.457094
151.5,0.457094
152,0.457094
152.5,0.457094
153,0.457094
153.5,0.457094
154,0.457094
154.5,0.457094
155,0.457094
155.5,0.457094
156,0.444223
156.5,0.444223
157,0.444223
157.5,0.444223
158,0.444223
158.5,0.444223
159,0.444223
159.5,0.444223
160,0.444223
160.5,0.444223
161,0.444223
161.5,0.444223
162,0.431417
162.5,0.431417
163,0.431417
163.5,0.431417
164,0.431417
164.5,0.431417
165,0.431417
165.5,0.431417
166,0.431417
166.5,0.431417
167,0.431417
167.5,0.431417
168,0.418678
168.5,0.418678
169,0.418678
169.5,0.418678
170,0.418678
170.5,0.418678
171,0.418678
171.5,0.418678
172,0.418678
172.5,0.418678
173,0.418678
